Unnamed: 0,target,text
1978,0,boat still mom check yo half nake
3989,1,bank granit issu explos pick member 300 nasdaq symbol cdgt per
3935,0,r give second chanc rahul dengra
4078,0,play smash bro lt gt religi
4086,1,privat 2003 account statement 07973788240 show 800 point call 08715203649 identifi code 40533 expir
4919,0,g say never answer text
2268,1,88066 88066 lost 3pound help
4696,0,okey dokey bit sort stuff
3653,0,come peopl
70,0,wah lucki man save money hee
4467,0,much better thank lol
2418,0,madam regret receiv refer check dlf rakhesh kerala
2623,0,come home 4 dinner
1272,0,ok
1454,0,decid faster co si go home liao
831,0,hi mate rv u hav nice hol messag 3 say hello coz havenåõt sent u 1 age start drive stay road rvx
5082,0,amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount woman hitler eleven plu two plu one amaz
1893,0,good morn plz call sir
3269,0,k actual guy meet sunoco howard right way
238,0,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
5426,0,oh yeah diet flew window
4867,0,watch cartoon listen music amp eve go templ amp church u
3435,0,india win level seri mean record
5542,0,armand say get ass epsilon
1295,0,tell said eat shit
2998,0,oh phone phone disconnect
1001,1,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize
1512,0,hey sweet wonder moment might come want send file someon wo go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey teas kiss
4370,0,puriti friendship two smile read forward messag smile see name gud evng
3458,1,heard u4 call night knicker make beg like u last time 01223585236 xx luv
2350,0,place man
957,0,welp appar retir
2229,0,haha money leh later got go tuition haha look empti slot drive lesson
4301,0,aiyar hard 2 type u later free tell call n scold n tell u
2240,0,k call close
1437,0,wat late still earli mah juz go 4 dinner lor aiya dunno
5351,0,yup paragon havent decid whether 2 cut yet hee
1876,0,watch tv got new job
2094,1,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
2655,0,great run ttyl
3482,0,hello love goe day wish well fine babe hope find job prospect miss boytoy teas kiss
1034,0,zoe hit 2 im fuck shitin il defo tri hardest 2 cum 2morow luv u million lekdog
4764,0,text way cup stop work bu
931,0,congratul ore mo owo wa enjoy wish mani happi moment fro wherev go
5087,0,good morn im suffer fever dysentri abl come offic today
2902,0,tell pain de
633,0,got seventeen pound seven hundr ml hope ok
2451,0,know complain num bettr directli go bsnl offc nd appli
498,0,kate jackson rec center 7ish right
4935,0,k congratul
415,0,whatsup dont u want sleep
2698,1,88066 lost help
2855,0,japanes proverb one u none u must indian version one let none leav final kerala version one stop none make strike
3727,0,search 4 happi 1 main sourc unhappi accept life way come u find happi everi moment u live
1426,0,ok
757,0,faith make thing possibl hope make thing work love make thing beauti may three christma merri christma
1194,0,ok c ya
1041,0,class holla later
1777,1,buy space invad 4 chanc 2 win orig arcad game consol press 0 game arcad std wap charg see 4 term set purchas
2572,0,hous water dock boat roll newscast dabbl jazz flute behind wheel
2699,0,oh babi hous come dont new pictur facebook
2168,0,thx well month
596,0,gud mrng dear nice day
1919,0,yar want 2 scold u yest late alreadi got zhong se qing u ask b4 ask go w u lor n u still act real
2763,0,say god love amp need clean heart ten special peopl amp u c miracl tomorrow pl pl
2807,0,ye princess want catch big strong hand
652,0,wait know wesley town bet hella drug
5151,0,problem renew right away dont know detail
3024,0,part understand
3271,0,moon come color dream star make music sm give warm peac sleep good night
4113,0,stand away heart ach without wonder crave
1406,1,urgent import inform o2 user today lucki day 2 find log onto http fantast surpris await
1618,0,2 oz guy kinda flaki one friend interest pick lt gt worth tonight possibl
75,0,wait machan call free
